CustomerKey,GeographyKey,FirstName,MiddleName,LastName,Gender,BirthDate,DateFirstPurchase,FullName
11000,26,Jon,V,Yang,Male,1971-10-06,2021-01-19,Jon V Yang
11001,37,Eugene,L,Huang,Male,1976-05-10,2021-01-15,Eugene L Huang
11002,31,Ruben,NULL,Torres,Male,1971-02-09,2021-01-07,Ruben Torres
11003,11,Christy,NULL,Zhu,Female,1973-08-14,2020-12-29,Christy Zhu
11004,19,Elizabeth,NULL,Johnson,Female,1979-08-05,2021-01-23,Elizabeth Johnson
11005,22,Julio,NULL,Ruiz,Male,1976-08-01,2020-12-30,Julio Ruiz
11006,8,Janet,G,Alvarez,Female,1976-12-02,2021-01-24,Janet G Alvarez
11007,40,Marco,NULL,Mehta,Male,1969-11-06,2021-01-09,Marco Mehta
11008,32,Rob,NULL,Verhoff,Female,1975-07-04,2021-01-25,Rob Verhoff
11009,25,Shannon,C,Carlson,Male,1969-09-29,2021-01-27,Shannon C Carlson
11010,22,Jacquelyn,C,Suarez,Female,1969-08-05,2021-01-14,Jacquelyn C Suarez
11011,22,Curtis,NULL,Lu,Male,1969-05-03,2020-12-30,Curtis Lu
11012,611,Lauren,M,Walker,Female,1979-01-14,2023-03-16,Lauren M Walker
11013,543,Ian,M,Jenkins,Male,1979-08-03,2023-04-13,Ian M Jenkins
11014,634,Sydney,NULL,Bennett,Female,1973-11-06,2023-03-23,Sydney Bennett
11015,301,Chloe,NULL,Young,Female,1984-08-26,2023-01-18,Chloe Young
11016,329,Wyatt,L,Hill,Male,1984-10-25,2023-02-09,Wyatt L Hill
11017,39,Shannon,NULL,Wang,Female,1949-12-24,2021-01-12,Shannon Wang
11018,32,Clarence,D,Rai,Male,1955-10-06,2021-01-17,Clarence D Rai
11019,52,Luke,L,Lal,Male,1983-09-04,2023-02-12,Luke L Lal
11020,53,Jordan,C,King,Male,1984-03-19,2022-12-29,Jordan C King
11021,536,Destiny,NULL,Wilson,Female,1984-03-02,2023-01-23,Destiny Wilson
11022,609,Ethan,G,Zhang,Male,1984-04-10,2023-01-20,Ethan G Zhang
11023,298,Seth,M,Edwards,Male,1984-04-09,2023-02-17,Seth M Edwards
11024,311,Russell,NULL,Xie,Male,1984-03-16,2023-06-27,Russell Xie
11025,24,Alejandro,NULL,Beck,Male,1951-06-22,2021-01-06,Alejandro Beck
11026,4,Harold,NULL,Sai,Male,1951-10-01,2021-01-23,Harold Sai
11027,40,Jessie,R,Zhao,Male,1952-06-05,2021-01-16,Jessie R Zhao
11028,17,Jill,NULL,Jimenez,Female,1951-10-09,2021-01-26,Jill Jimenez
11029,32,Jimmy,L,Moreno,Male,1952-06-19,2021-01-19,Jimmy L Moreno
11030,28,Bethany,G,Yuan,Female,1958-02-18,2021-02-05,Bethany G Yuan
11031,8,Theresa,G,Ramos,Female,1953-02-18,2021-02-01,Theresa G Ramos
11032,35,Denise,NULL,Stone,Female,1952-12-08,2021-02-18,Denise Stone
11033,9,Jaime,NULL,Nath,Male,1958-09-19,2021-02-15,Jaime Nath
11034,12,Ebony,NULL,Gonzalez,Female,1952-12-16,2021-02-01,Ebony Gonzalez
11035,33,Wendy,NULL,Dominguez,Female,1953-08-23,2021-02-06,Wendy Dominguez
11036,343,Jennifer,C,Russell,Female,1984-06-16,2023-01-22,Jennifer C Russell
11037,49,Chloe,M,Garcia,Female,1983-05-27,2023-01-20,Chloe M Garcia
11038,6,Diana,F,Hernandez,Female,1953-09-20,2021-02-07,Diana F Hernandez
11039,19,Marc,J,Martin,Male,1954-06-16,2021-02-07,Marc J Martin
11040,642,Jesse,NULL,Murphy,Male,1983-01-29,2023-04-03,Jesse Murphy
11041,325,Amanda,M,Carter,Female,1983-04-15,2023-01-14,Amanda M Carter
11042,338,Megan,J,Sanchez,Female,1982-12-11,2023-01-21,Megan J Sanchez
11043,325,Nathan,M,Simmons,Male,1981-08-23,2023-05-08,Nathan M Simmons
11044,25,Adam,L,Flores,Male,1954-11-21,2021-02-28,Adam L Flores
11045,8,Leonard,G,Nara,Male,1955-11-16,2023-04-10,Leonard G Nara
11046,6,Christine,NULL,Yuan,Female,1955-09-19,2021-02-06,Christine Yuan
11047,34,Jaclyn,D,Lu,Female,1955-08-27,2021-02-03,Jaclyn D Lu
11048,39,Jeremy,NULL,Powell,Male,1956-05-21,2021-02-10,Jeremy Powell
11049,307,Carol,C,Rai,Female,1986-01-15,2023-03-09,Carol C Rai
11050,31,Alan,NULL,Zheng,Male,1957-03-06,2021-02-20,Alan Zheng
11051,21,Daniel,NULL,Johnson,Male,1957-01-31,2023-12-29,Daniel Johnson
11052,8,Heidi,NULL,Lopez,Female,1957-02-03,2021-02-17,Heidi Lopez
11053,359,Ana,E,Price,Female,1986-02-17,2023-01-17,Ana E Price
11054,34,Deanna,NULL,Munoz,Female,1957-09-07,2021-02-03,Deanna Munoz
11055,22,Gilbert,NULL,Raje,Male,1957-09-02,2021-01-31,Gilbert Raje
11056,10,Michele,L,Nath,Female,1958-10-01,2021-02-26,Michele L Nath
11057,5,Carl,J,Andersen,Male,1970-04-07,2021-02-22,Carl J Andersen
11058,29,Marc,NULL,Diaz,Male,1965-04-23,2021-03-09,Marc Diaz
11059,27,Ashlee,J,Andersen,Female,1959-09-29,2023-02-18,Ashlee J Andersen
11060,40,Jon,L,Zhou,Male,1959-09-14,2021-03-19,Jon L Zhou
11061,23,Todd,M,Gao,Male,1976-02-20,2021-03-13,Todd M Gao
11062,547,Noah,D,Powell,Male,1981-03-01,2023-01-07,Noah D Powell
11063,634,Angela,NULL,Murphy,Female,1980-10-04,2023-01-12,Angela Murphy
11064,315,Chase,NULL,Reed,Male,1981-06-05,2023-01-25,Chase Reed
11065,331,Jessica,NULL,Henderson,Female,1979-04-08,2023-02-10,Jessica Henderson
11066,543,Grace,T,Butler,Female,1979-05-27,2023-05-31,Grace T Butler
11067,632,Caleb,F,Carter,Male,1982-03-25,2023-08-18,Caleb F Carter
11068,40,Tiffany,NULL,Liang,Female,1966-09-19,2023-04-30,Tiffany Liang
11069,23,Carolyn,NULL,Navarro,Female,1966-09-17,2021-04-17,Carolyn Navarro
11070,39,Willie,T,Raji,Male,1960-10-02,2021-04-28,Willie T Raji
11071,24,Linda,NULL,Serrano,Female,1960-12-23,2023-03-01,Linda Serrano
11072,17,Casey,NULL,Luo,Female,1960-08-05,2021-03-31,Casey Luo
11073,16,Amy,NULL,Ye,Female,1962-02-11,2023-03-23,Amy Ye
11074,28,Levi,A,Arun,Male,1962-02-25,2023-03-23,Levi A Arun
11075,32,Felicia,L,Jimenez,Female,1963-05-16,2021-04-28,Felicia L Jimenez
11076,19,Blake,NULL,Anderson,Male,1963-01-10,2021-04-21,Blake Anderson
11077,36,Leah,NULL,Ye,Female,1963-03-19,2021-04-15,Leah Ye
11078,49,Gina,E,Martin,Female,1985-01-06,2023-02-15,Gina E Martin
11079,34,Donald,NULL,Gonzalez,Male,1970-03-07,2023-03-15,Donald Gonzalez
11080,30,Damien,NULL,Chander,Male,1965-01-13,2021-04-10,Damien Chander
11081,311,Savannah,C,Baker,Female,1972-01-21,2023-02-12,Savannah C Baker
11082,322,Angela,L,Butler,Female,1972-02-01,2023-01-22,Angela L Butler
